time_id,scraping_date,year,quarter,month,day,day_name,is_weekend
307,2002-09-30,2002,3,9,30,Monday,False
308,2002-11-01,2002,4,11,1,Friday,False
309,1998-01-16,1998,1,1,16,Friday,False
310,2012-02-07,2012,1,2,7,Tuesday,False
311,2007-07-27,2007,3,7,27,Friday,False
312,2003-02-28,2003,1,2,28,Friday,False
313,1995-10-26,1995,4,10,26,Thursday,False
314,2003-12-17,2003,4,12,17,Wednesday,False
315,2002-04-26,2002,2,4,26,Friday,False
316,2014-05-09,2014,2,5,9,Friday,False
317,1997-07-22,1997,3,7,22,Tuesday,False
318,2000-12-20,2000,4,12,20,Wednesday,False
319,2011-11-10,2011,4,11,10,Thursday,False
320,2001-07-02,2001,3,7,2,Monday,False
321,2005-10-03,2005,4,10,3,Monday,False
322,1999-07-30,1999,3,7,30,Friday,False
323,2004-05-21,2004,2,5,21,Friday,False
324,2002-10-03,2002,4,10,3,Thursday,False
325,2012-11-07,2012,4,11,7,Wednesday,False
326,2002-05-30,2002,2,5,30,Thursday,False
327,2004-08-05,2004,3,8,5,Thursday,False
328,2003-10-17,2003,4,10,17,Friday,False
329,2000-02-11,2000,1,2,11,Friday,False
330,2001-06-15,2001,2,6,15,Friday,False
331,1996-10-30,1996,4,10,30,Wednesday,False
332,2002-07-26,2002,3,7,26,Friday,False
333,2007-09-19,2007,3,9,19,Wednesday,False
334,2015-06-02,2015,2,6,2,Tuesday,False
335,2000-12-08,2000,4,12,8,Friday,False
336,2014-09-26,2014,3,9,26,Friday,False
337,1995-08-07,1995,3,8,7,Monday,False
338,2006-06-29,2006,2,6,29,Thursday,False
339,2007-04-27,2007,2,4,27,Friday,False
340,1999-07-19,1999,3,7,19,Monday,False
341,1996-02-21,1996,1,2,21,Wednesday,False
342,2002-08-23,2002,3,8,23,Friday,False
343,2004-02-27,2004,1,2,27,Friday,False
344,1997-04-25,1997,2,4,25,Friday,False
345,2015-05-15,2015,2,5,15,Friday,False
346,2015-06-18,2015,2,6,18,Thursday,False
347,2004-12-23,2004,4,12,23,Thursday,False
348,2016-07-15,2016,3,7,15,Friday,False
349,2011-11-25,2011,4,11,25,Friday,False
350,2005-10-25,2005,4,10,25,Tuesday,False
351,1999-03-26,1999,1,3,26,Friday,False
352,1999-05-28,1999,2,5,28,Friday,False
353,2016-10-13,2016,4,10,13,Thursday,False
354,1997-09-26,1997,3,9,26,Friday,False
355,2000-06-02,2000,2,6,2,Friday,False
356,2003-07-14,2003,3,7,14,Monday,False
357,2004-10-01,2004,4,10,1,Friday,False
358,2015-10-05,2015,4,10,5,Monday,False
359,2001-09-05,2001,3,9,5,Wednesday,False
360,2003-10-10,2003,4,10,10,Friday,False
361,2013-08-06,2013,3,8,6,Tuesday,False
362,1997-10-28,1997,4,10,28,Tuesday,False
363,2000-03-24,2000,1,3,24,Friday,False
364,2009-12-21,2009,4,12,21,Monday,False
365,2006-08-22,2006,3,8,22,Tuesday,False
366,2011-11-21,2011,4,11,21,Monday,False
367,2013-12-20,2013,4,12,20,Friday,False
368,2011-01-31,2011,1,1,31,Monday,False
369,2004-01-09,2004,1,1,9,Friday,False
370,2005-02-02,2005,1,2,2,Wednesday,False
371,1998-01-19,1998,1,1,19,Monday,False
372,2009-06-04,2009,2,6,4,Thursday,False
373,2007-11-09,2007,4,11,9,Friday,False
374,2004-05-06,2004,2,5,6,Thursday,False
375,1999-03-31,1999,1,3,31,Wednesday,False
376,2006-06-23,2006,2,6,23,Friday,False
377,2016-10-31,2016,4,10,31,Monday,False
378,2001-05-16,2001,2,5,16,Wednesday,False
379,2005-02-28,2005,1,2,28,Monday,False
380,2003-06-30,2003,2,6,30,Monday,False
381,2003-04-09,2003,2,4,9,Wednesday,False
382,2002-12-20,2002,4,12,20,Friday,False
383,2003-06-20,2003,2,6,20,Friday,False
384,2010-10-07,2010,4,10,7,Thursday,False
385,2017-06-01,2017,2,6,1,Thursday,False
386,2003-11-19,2003,4,11,19,Wednesday,False
387,2010-06-30,2010,2,6,30,Wednesday,False
388,1995-02-14,1995,1,2,14,Tuesday,False
389,2017-01-12,2017,1,1,12,Thursday,False
390,2003-11-14,2003,4,11,14,Friday,False
391,2014-12-16,2014,4,12,16,Tuesday,False
392,1996-09-20,1996,3,9,20,Friday,False
393,2012-07-24,2012,3,7,24,Tuesday,False
394,1998-05-01,1998,2,5,1,Friday,False
395,2016-08-23,2016,3,8,23,Tuesday,False
396,2014-07-14,2014,3,7,14,Monday,False
397,1999-11-29,1999,4,11,29,Monday,False
398,2002-12-19,2002,4,12,19,Thursday,False
399,2010-04-30,2010,2,4,30,Friday,False
400,2012-03-06,2012,1,3,6,Tuesday,False
401,2001-08-15,2001,3,8,15,Wednesday,False
402,2008-10-31,2008,4,10,31,Friday,False
403,2010-07-01,2010,3,7,1,Thursday,False
404,2004-02-23,2004,1,2,23,Monday,False
405,1998-01-23,1998,1,1,23,Friday,False
406,2013-06-12,2013,2,6,12,Wednesday,False
407,2001-09-27,2001,3,9,27,Thursday,False
408,2012-09-13,2012,3,9,13,Thursday,False
409,2015-11-27,2015,4,11,27,Friday,False
410,1998-12-21,1998,4,12,21,Monday,False
411,2017-03-10,2017,1,3,10,Friday,False
412,2006-03-24,2006,1,3,24,Friday,False
413,2016-05-31,2016,2,5,31,Tuesday,False
414,2004-12-06,2004,4,12,6,Monday,False
415,1999-03-19,1999,1,3,19,Friday,False
416,2007-08-01,2007,3,8,1,Wednesday,False
417,2008-09-19,2008,3,9,19,Friday,False
418,2006-11-24,2006,4,11,24,Friday,False
419,2000-05-17,2000,2,5,17,Wednesday,False
420,2010-10-29,2010,4,10,29,Friday,False
421,2006-08-07,2006,3,8,7,Monday,False
422,2006-04-13,2006,2,4,13,Thursday,False
423,2013-12-06,2013,4,12,6,Friday,False
424,2004-11-08,2004,4,11,8,Monday,False
425,1996-01-17,1996,1,1,17,Wednesday,False
426,2006-11-20,2006,4,11,20,Monday,False
427,2002-06-05,2002,2,6,5,Wednesday,False
428,2006-05-02,2006,2,5,2,Tuesday,False
429,1999-02-12,1999,1,2,12,Friday,False
430,2002-09-27,2002,3,9,27,Friday,False
431,2013-12-13,2013,4,12,13,Friday,False
432,1998-11-30,1998,4,11,30,Monday,False
433,2016-06-15,2016,2,6,15,Wednesday,False
434,1996-06-20,1996,2,6,20,Thursday,False
435,2013-05-03,2013,2,5,3,Friday,False
436,2016-10-21,2016,4,10,21,Friday,False
437,2000-12-15,2000,4,12,15,Friday,False
438,2002-05-31,2002,2,5,31,Friday,False
439,2017-04-07,2017,2,4,7,Friday,False
440,2002-09-10,2002,3,9,10,Tuesday,False
441,1996-02-13,1996,1,2,13,Tuesday,False
442,2008-10-30,2008,4,10,30,Thursday,False
443,2000-02-08,2000,1,2,8,Tuesday,False
444,2001-11-28,2001,4,11,28,Wednesday,False
445,2001-06-11,2001,2,6,11,Monday,False
446,2007-06-29,2007,2,6,29,Friday,False
447,1997-06-26,1997,2,6,26,Thursday,False
448,2011-08-25,2011,3,8,25,Thursday,False
449,1997-08-15,1997,3,8,15,Friday,False
450,2015-08-04,2015,3,8,4,Tuesday,False
451,1996-08-09,1996,3,8,9,Friday,False
452,2006-06-09,2006,2,6,9,Friday,False
453,2011-02-18,2011,1,2,18,Friday,False
454,2005-03-11,2005,1,3,11,Friday,False
455,1997-04-11,1997,2,4,11,Friday,False
456,2015-07-30,2015,3,7,30,Thursday,False
457,2004-08-20,2004,3,8,20,Friday,False
458,2015-10-19,2015,4,10,19,Monday,False
459,2010-07-09,2010,3,7,9,Friday,False
460,1999-08-20,1999,3,8,20,Friday,False
461,2004-06-04,2004,2,6,4,Friday,False
462,2004-01-19,2004,1,1,19,Monday,False
463,2015-07-07,2015,3,7,7,Tuesday,False
464,2014-09-04,2014,3,9,4,Thursday,False
465,2006-09-07,2006,3,9,7,Thursday,False
466,2014-04-25,2014,2,4,25,Friday,False
467,2009-11-06,2009,4,11,6,Friday,False
468,1995-11-29,1995,4,11,29,Wednesday,False
469,2006-06-30,2006,2,6,30,Friday,False
470,2016-02-23,2016,1,2,23,Tuesday,False
471,1998-12-11,1998,4,12,11,Friday,False
472,2008-01-23,2008,1,1,23,Wednesday,False
473,2010-02-26,2010,1,2,26,Friday,False
474,2016-02-19,2016,1,2,19,Friday,False
475,2013-07-22,2013,3,7,22,Monday,False
476,2004-08-13,2004,3,8,13,Friday,False
477,2011-04-14,2011,2,4,14,Thursday,False
